Disease,N_pos,AUC,ECE_orig,ECE_best,Reduction_pct,Best_Method,Brier_orig,Brier_best,LogLoss_orig,LogLoss_best,AUC_after,CI_orig_lo,CI_orig_hi,CI_best_lo,CI_best_hi
Atelectasis,890,0.7422,0.275,0.0082,97.0,Isotonic,0.1804,0.0756,0.514,0.2751,0.7343,0.2685,0.2814,0.0062,0.0151
Cardiomegaly,200,0.8576,0.1495,0.0024,98.4,Isotonic,0.076,0.0174,0.2369,0.0821,0.8495,0.1449,0.1538,0.0018,0.0054
Effusion,895,0.8121,0.1768,0.0049,97.2,Isotonic,0.13,0.0689,0.3894,0.2537,0.8072,0.1714,0.1828,0.0045,0.0118
Infiltration,1430,0.6787,0.2826,0.0048,98.3,Isotonic,0.2101,0.116,0.5978,0.3883,0.6754,0.2756,0.2894,0.0054,0.0145
Mass,309,0.7599,0.2572,0.0037,98.5,Isotonic,0.1317,0.029,0.3993,0.1278,0.7492,0.2523,0.2622,0.003,0.0081
Nodule,452,0.6485,0.3223,0.006,98.1,Isotonic,0.1692,0.0423,0.5082,0.1805,0.6357,0.3175,0.3272,0.0045,0.0109
Pneumonia,119,0.6198,0.283,0.0021,99.3,Platt,0.1344,0.0117,0.4058,0.0639,0.5991,0.279,0.288,0.002,0.0048
Pneumothorax,471,0.6882,0.2644,0.005,98.1,Isotonic,0.1512,0.0442,0.4439,0.1873,0.6759,0.259,0.2702,0.0044,0.0106
Consolidation,352,0.7385,0.3563,0.0036,99.0,Isotonic,0.1831,0.0332,0.5344,0.1439,0.7323,0.3517,0.3608,0.003,0.0081
Edema,106,0.8354,0.2176,0.0022,99.0,Isotonic,0.1083,0.0102,0.3153,0.0533,0.8213,0.2124,0.2223,0.0016,0.0045
Emphysema,193,0.7034,0.3073,0.0033,98.9,Isotonic,0.1588,0.0188,0.4554,0.0974,0.6837,0.3022,0.3124,0.0027,0.0071
Fibrosis,207,0.7268,0.2971,0.0044,98.5,Isotonic,0.1433,0.02,0.4325,0.0976,0.708,0.2924,0.3015,0.0031,0.0073
