Disease,AUC,ECE_orig,ECE_best,Reduction%,Best_Method,Brier_orig,Brier_best,LogLoss_orig,LogLoss_best,CI_orig,CI_best
Atelectasis,0.742,0.275,0.0082,97.0,Isotonic,0.1804,0.0756,0.514,0.2751,"(np.float64(0.2683), np.float64(0.281))","(np.float64(0.0063), np.float64(0.0151))"
Cardiomegaly,0.858,0.1495,0.0024,98.4,Isotonic,0.076,0.0174,0.2369,0.0821,"(np.float64(0.1448), np.float64(0.1536))","(np.float64(0.0018), np.float64(0.0054))"
Effusion,0.812,0.1768,0.0049,97.2,Isotonic,0.13,0.0689,0.3894,0.2537,"(np.float64(0.1716), np.float64(0.1827))","(np.float64(0.0043), np.float64(0.0117))"
Infiltration,0.679,0.2826,0.0048,98.3,Isotonic,0.2101,0.116,0.5978,0.3883,"(np.float64(0.2756), np.float64(0.2893))","(np.float64(0.0057), np.float64(0.0137))"
Mass,0.76,0.2572,0.0037,98.5,Isotonic,0.1317,0.029,0.3993,0.1278,"(np.float64(0.2525), np.float64(0.2622))","(np.float64(0.0032), np.float64(0.0082))"
Nodule,0.648,0.3223,0.006,98.1,Isotonic,0.1692,0.0423,0.5082,0.1805,"(np.float64(0.3179), np.float64(0.3272))","(np.float64(0.0048), np.float64(0.0118))"
Pneumonia,0.62,0.283,0.0021,99.3,Platt,0.1344,0.0117,0.4058,0.0639,"(np.float64(0.2786), np.float64(0.2876))","(np.float64(0.0021), np.float64(0.0047))"
Pneumothorax,0.688,0.2644,0.005,98.1,Isotonic,0.1512,0.0442,0.4439,0.1873,"(np.float64(0.2593), np.float64(0.2712))","(np.float64(0.004), np.float64(0.0106))"
Consolidation,0.739,0.3563,0.0036,99.0,Isotonic,0.1831,0.0332,0.5344,0.1439,"(np.float64(0.3518), np.float64(0.3602))","(np.float64(0.0033), np.float64(0.008))"
Edema,0.835,0.2176,0.0022,99.0,Isotonic,0.1083,0.0102,0.3153,0.0533,"(np.float64(0.2125), np.float64(0.2223))","(np.float64(0.0016), np.float64(0.0045))"
Emphysema,0.703,0.3073,0.0033,98.9,Isotonic,0.1588,0.0188,0.4554,0.0974,"(np.float64(0.3023), np.float64(0.3116))","(np.float64(0.0027), np.float64(0.0069))"
Fibrosis,0.727,0.2971,0.0044,98.5,Isotonic,0.1433,0.02,0.4325,0.0976,"(np.float64(0.2921), np.float64(0.3012))","(np.float64(0.0032), np.float64(0.0073))"
